Station Name,Measurement Timestamp,Air Temperature
63rd Street Weather Station,01/03/2016 04:00:00 AM,-3.0
Oak Street Weather Station,01/03/2016 05:00:00 AM,-2.6
Foster Weather Station,01/03/2016 05:00:00 AM,-3.89
63rd Street Weather Station,01/03/2016 05:00:00 AM,-3.1
Foster Weather Station,01/03/2016 06:00:00 AM,-3.89
Oak Street Weather Station,01/03/2016 06:00:00 AM,-2.7
63rd Street Weather Station,01/03/2016 06:00:00 AM,-3.1
Foster Weather Station,01/03/2016 07:00:00 AM,-3.06
63rd Street Weather Station,01/03/2016 07:00:00 AM,-2.5
Oak Street Weather Station,01/03/2016 07:00:00 AM,-2.1
Foster Weather Station,01/03/2016 08:00:00 AM,-2.56
63rd Street Weather Station,01/03/2016 08:00:00 AM,-1.6
Oak Street Weather Station,01/03/2016 08:00:00 AM,-1.4
63rd Street Weather Station,01/03/2016 09:00:00 AM,-1.2
Oak Street Weather Station,01/03/2016 09:00:00 AM,-0.8
Foster Weather Station,01/03/2016 09:00:00 AM,-1.56
Oak Street Weather Station,01/03/2016 10:00:00 AM,0.2
63rd Street Weather Station,01/03/2016 10:00:00 AM,0.4
Foster Weather Station,01/03/2016 10:00:00 AM,-0.89
Foster Weather Station,01/03/2016 11:00:00 AM,-0.89
63rd Street Weather Station,01/03/2016 11:00:00 AM,0.7
63rd Street Weather Station,01/03/2016 12:00:00 PM,-0.3
Oak Street Weather Station,01/03/2016 12:00:00 PM,0.0
Foster Weather Station,01/03/2016 12:00:00 PM,-1.0
Oak Street Weather Station,01/03/2016 01:00:00 PM,-0.4
Foster Weather Station,01/03/2016 01:00:00 PM,-1.56
63rd Street Weather Station,01/03/2016 01:00:00 PM,-0.4
Foster Weather Station,01/03/2016 02:00:00 PM,-1.5
Oak Street Weather Station,01/03/2016 02:00:00 PM,-0.5
63rd Street Weather Station,01/03/2016 02:00:00 PM,-0.6
Foster Weather Station,01/03/2016 03:00:00 PM,-1.5
63rd Street Weather Station,01/03/2016 03:00:00 PM,-0.9
Oak Street Weather Station,01/03/2016 03:00:00 PM,-0.4
63rd Street Weather Station,01/03/2016 04:00:00 PM,-1.0
Foster Weather Station,01/03/2016 04:00:00 PM,-1.67
63rd Street Weather Station,01/03/2016 05:00:00 PM,-0.9
Foster Weather Station,01/03/2016 05:00:00 PM,-1.56
Foster Weather Station,01/03/2016 06:00:00 PM,-1.89
63rd Street Weather Station,01/03/2016 06:00:00 PM,-0.9
63rd Street Weather Station,01/03/2016 07:00:00 PM,-1.3
Foster Weather Station,01/03/2016 07:00:00 PM,-2.5
Oak Street Weather Station,01/03/2016 07:00:00 PM,-1.2
63rd Street Weather Station,01/03/2016 08:00:00 PM,-1.7
Foster Weather Station,01/03/2016 08:00:00 PM,-2.39
Oak Street Weather Station,01/03/2016 08:00:00 PM,-1.4
63rd Street Weather Station,01/03/2016 09:00:00 PM,-1.6
Foster Weather Station,01/03/2016 09:00:00 PM,-2.28
Oak Street Weather Station,01/03/2016 09:00:00 PM,-1.2
Oak Street Weather Station,01/03/2016 10:00:00 PM,-1.4
Foster Weather Station,01/03/2016 10:00:00 PM,-2.39
63rd Street Weather Station,01/03/2016 10:00:00 PM,-1.6
Oak Street Weather Station,01/03/2016 11:00:00 PM,-1.4
Foster Weather Station,01/03/2016 11:00:00 PM,-2.5
63rd Street Weather Station,01/03/2016 11:00:00 PM,-1.6
63rd Street Weather Station,01/04/2016 12:00:00 AM,-1.6
Foster Weather Station,01/04/2016 12:00:00 AM,-2.5
Oak Street Weather Station,01/04/2016 12:00:00 AM,-1.4
Foster Weather Station,01/04/2016 01:00:00 AM,-3.0
63rd Street Weather Station,01/04/2016 01:00:00 AM,-1.9
Oak Street Weather Station,01/04/2016 01:00:00 AM,-1.8
Oak Street Weather Station,01/04/2016 02:00:00 AM,-2.1
Foster Weather Station,01/04/2016 02:00:00 AM,-3.39
63rd Street Weather Station,01/04/2016 02:00:00 AM,-2.3
Oak Street Weather Station,01/04/2016 03:00:00 AM,-2.5
63rd Street Weather Station,01/04/2016 03:00:00 AM,-2.6
Foster Weather Station,01/04/2016 03:00:00 AM,-3.39
63rd Street Weather Station,01/04/2016 04:00:00 AM,-2.7
Oak Street Weather Station,01/04/2016 04:00:00 AM,-2.4
Foster Weather Station,01/04/2016 04:00:00 AM,-3.06
Oak Street Weather Station,01/04/2016 05:00:00 AM,-1.9
Foster Weather Station,01/04/2016 05:00:00 AM,-3.06
63rd Street Weather Station,01/04/2016 05:00:00 AM,-2.1
Oak Street Weather Station,01/04/2016 06:00:00 AM,-1.7
63rd Street Weather Station,01/04/2016 06:00:00 AM,-2.1
Foster Weather Station,01/04/2016 06:00:00 AM,-2.89
63rd Street Weather Station,01/04/2016 07:00:00 AM,-1.9
Oak Street Weather Station,01/04/2016 07:00:00 AM,-1.8
Foster Weather Station,01/04/2016 07:00:00 AM,-2.89
Oak Street Weather Station,01/04/2016 08:00:00 AM,-1.8
Foster Weather Station,01/04/2016 08:00:00 AM,-2.5
63rd Street Weather Station,01/04/2016 08:00:00 AM,-1.8
63rd Street Weather Station,01/04/2016 09:00:00 AM,-1.1
Oak Street Weather Station,01/04/2016 09:00:00 AM,-1.7
Foster Weather Station,01/04/2016 09:00:00 AM,-2.78
Foster Weather Station,01/04/2016 10:00:00 AM,-1.0
63rd Street Weather Station,01/04/2016 10:00:00 AM,0.4
Oak Street Weather Station,01/04/2016 11:00:00 AM,0.1
Foster Weather Station,01/04/2016 11:00:00 AM,-0.78
63rd Street Weather Station,01/04/2016 11:00:00 AM,-0.3
63rd Street Weather Station,01/04/2016 12:00:00 PM,-0.2
Foster Weather Station,01/04/2016 12:00:00 PM,-1.0
63rd Street Weather Station,01/04/2016 01:00:00 PM,-0.4
Foster Weather Station,01/04/2016 01:00:00 PM,-1.28
Oak Street Weather Station,01/04/2016 02:00:00 PM,-0.3
63rd Street Weather Station,01/04/2016 02:00:00 PM,-0.5
